country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
CH,2069,Not Recorded,,,CH,19324.1198,3518.4
IT,1064,1184,,,IT,19392.8,6675
IT,377,55,,,FR,20595.14078,3513
FR,38.50318471,Not Recorded,,,SK,2472.17,0
IT,42,35.6,,,DE,10776.97555,4982
SK,38.4,Not Recorded,,,ES,16083.31525,4833
SK,38.4,Not Recorded,,,AT,13511.40037,2479
DE,38.2,Not Recorded,,,SI,1238.605,180
ES,38,Not Recorded,,,SE,13899.76352,36
AT,38,Not Recorded,,,UK,4277.475,2828
SI,38,Not Recorded,,,FI,2634.6,0
SE,40,Not Recorded,,,EL,3375.6,699
ES,360,420,,,RO,6173.930127,0
IT,38,Not Recorded,,,AL,2070.966,0
IT,38,Not Recorded,,,BG,2920.94,1210
IT,38,Not Recorded,,,HR,2124.992189,240
IT,38,Not Recorded,,,PT,7998.9,3373
IT,38,Not Recorded,,,MK,574.6,0
UK,38,Not Recorded,,,RS,2800.3,614
ES,38,Not Recorded,,,CZ,1924.219836,480
FI,38,Not Recorded,,,ME,675.321,0
EL,437.2,Not Recorded,,,BA,1999.5,420
RO,38,Not Recorded,,,HU,47.7,0
RO,38,Not Recorded,,,IE,509,292
RO,38,Not Recorded,,,PL,2137.75428,956
RO,38,Not Recorded,,,BE,1379.751009,1307
DE,37.9,Not Recorded,,,LV,1526.1,0
FR,37.51592357,Not Recorded,,,LT,1001,880
CH,37.5,Not Recorded,,,XK,65.2,0
AL,37.5,Not Recorded,,,NO,32953.13,0
ES,37.36,Not Recorded,,,,,
FR,37.18405084,Not Recorded,,,,,
BG,375,104,,,,,
ES,37,Not Recorded,,,,,
AT,37,Not Recorded,,,,,
SE,40,Not Recorded,,,,,
SE,38,Not Recorded,,,,,
RO,37,Not Recorded,,,,,
RO,37,Not Recorded,,,,,
FR,36.82484076,Not Recorded,,,,,
HR,36.8,Not Recorded,,,,,
CH,36.8,Not Recorded,,,,,
PT,780,780,,,,,
DE,48,Not Recorded,,,,,
FR,36.52866242,Not Recorded,,,,,
MK,36.4,Not Recorded,,,,,
IT,37,37,,,,,
AT,104,86,,,,,
SE,37,Not Recorded,,,,,
SE,37,Not Recorded,,,,,
FR,366,Not Recorded,,,,,
IT,36,Not Recorded,,,,,
